iter	AUC	Logloss
117	0.6395527422	0.6769567235
118	0.640005827	0.6768800067
119	0.6402666867	0.6767892085
120	0.6406592429	0.6767031041
121	0.6413834393	0.6765611962
122	0.6416895092	0.6764755612
123	0.6424337626	0.6763513852
124	0.6426698565	0.676246245
125	0.6434455216	0.6761044413
126	0.6442688704	0.6759413072
127	0.6447624862	0.6758227115
128	0.6451389194	0.6757409358
129	0.6458059549	0.6755807744
130	0.646317482	0.6754655687
131	0.6467617154	0.6753548481
132	0.6469173431	0.6752844939
133	0.6476960182	0.6751693925
134	0.6482536197	0.6750753609
135	0.6487830877	0.6749620849
136	0.6491796374	0.6748670102
137	0.6494197249	0.6748021842
138	0.6496973038	0.6747372538
139	0.6498585343	0.67470252
140	0.6500865221	0.6745883052
141	0.6504885852	0.6744801923
142	0.6511591077	0.6743567465
143	0.6511611938	0.6743262371
144	0.6516327262	0.6742348652
145	0.6519595385	0.674143024
146	0.6523651481	0.6740520694
147	0.6528309584	0.6739173586
148	0.6534421444	0.6738007447
149	0.6543574929	0.6736544038
150	0.6549000144	0.6735485856
151	0.6552469134	0.6734714515
152	0.6556468606	0.6733534296
153	0.6558078527	0.673253609
154	0.6561751366	0.6731620807
155	0.656555593	0.673075872
156	0.6571629047	0.6729055407
157	0.6580292284	0.6727506467
158	0.6580982804	0.6726628213
159	0.6587283015	0.6725384888
160	0.6590767205	0.6724562437
161	0.659679234	0.6723328501
162	0.660279572	0.6722154539
163	0.6604990959	0.6721432744
164	0.6608023047	0.6720685915
165	0.661326766	0.67196439
166	0.6619169414	0.6718297313
167	0.662227273	0.671753223
168	0.6625464559	0.6716605474
169	0.6631560922	0.6715428905
170	0.6638996005	0.6713971754
171	0.6642741859	0.6713099236
172	0.6646420956	0.6712160485
173	0.664824903	0.6711407919
174	0.6653731167	0.67103028
175	0.6658568382	0.6709392732
176	0.6665819883	0.670793871
177	0.6672734022	0.6706575434
178	0.6671859324	0.6706433578
179	0.6674612164	0.6705673189
180	0.6680238247	0.6704105995
181	0.6690297723	0.6702436582
182	0.6696317792	0.6701022718
183	0.6701228023	0.6700032856
184	0.6707185507	0.6698731121
185	0.6710904837	0.6697836699
186	0.6715907156	0.6696529226
187	0.6724853218	0.6694840517
188	0.6731127799	0.6693649866
189	0.6738302112	0.6692342394
190	0.6741384268	0.6691209634
191	0.6744863391	0.6690128505
192	0.6745675802	0.668947868
193	0.6747197509	0.668872142
194	0.6752642989	0.6687712262
195	0.6753593087	0.6687527641
196	0.6758707762	0.6686061102
197	0.6762905121	0.6685192757
198	0.6764748096	0.6684383866
199	0.6768575311	0.6683177049
200	0.6772608757	0.6682199182
201	0.6776750684	0.6681308933
202	0.6781667471	0.6680309684
203	0.6786819994	0.6679108603
204	0.6788828671	0.6678426444
205	0.6794248819	0.667713566
206	0.6797305048	0.6676161444
207	0.6801277995	0.667503077
208	0.6808066368	0.6673749896
209	0.681258738	0.6672897196
210	0.68165645	0.6671944885
211	0.6821317375	0.6670954502
212	0.6826951206	0.6669833737
213	0.6829332411	0.6669220419
214	0.6833572388	0.6668169017
215	0.6837499142	0.6667051903
216	0.684266746	0.6666066735
217	0.6845681667	0.6665196825
218	0.6847979128	0.6664628359
219	0.6854577065	0.6663027787
220	0.6860972941	0.6661719272
221	0.6868732572	0.6660035255
222	0.6870640218	0.6659452708
223	0.6875665188	0.6658252149
224	0.6882690787	0.6656809079
225	0.6886148453	0.66555814
226	0.6890670657	0.6654441338
227	0.6894488931	0.6653282502
228	0.6895528436	0.6653016522
229	0.6897318363	0.6652240487
230	0.6898672581	0.6651573452
231	0.6905508637	0.6650160109
232	0.690602839	0.6649988005
233	0.6910344362	0.664878223
234	0.6914922893	0.6647792891
235	0.6921826601	0.6646599633
236	0.6924574375	0.6645175859
237	0.6928676963	0.6644137496
238	0.6932670474	0.6643018817
239	0.6937873363	0.6641753588
240	0.6941838264	0.6640692277
241	0.694809854	0.6639363944
242	0.6953374743	0.6638213451
243	0.6958596706	0.6636770381
244	0.6960305572	0.6636276494
245	0.6963607371	0.6635614674
246	0.6966586113	0.6634946074
247	0.6970133185	0.6633967686
248	0.6976078749	0.6632830232
249	0.6978395581	0.6632342603
250	0.6979392171	0.6631658879
251	0.6982864738	0.6630450496
252	0.6985585392	0.662968072
253	0.6988984346	0.6628687208
254	0.6992465854	0.6627809475
255	0.6995632052	0.6627059517
