iter	Passed	Remaining
405	7350	305817
406	7369	305838
407	7387	305809
408	7405	305806
409	7423	305783
410	7441	305749
411	7459	305713
412	7476	305671
413	7495	305676
414	7513	305656
415	7530	305619
416	7548	305586
417	7566	305570
418	7586	305594
419	7603	305570
420	7622	305560
421	7639	305501
422	7657	305494
423	7675	305477
424	7694	305468
425	7713	305480
426	7731	305458
427	7750	305482
428	7769	305496
429	7788	305508
430	7806	305516
431	7824	305482
432	7843	305516
433	7861	305492
434	7882	305552
435	7900	305549
436	7920	305587
437	7939	305624
438	7958	305639
439	7978	305670
440	7996	305664
441	8014	305622
442	8032	305614
443	8051	305633
444	8071	305686
445	8091	305717
446	8109	305730
447	8128	305725
448	8147	305754
449	8166	305748
450	8185	305765
451	8202	305700
452	8219	305663
453	8237	305611
454	8255	305606
455	8275	305637
456	8295	305685
457	8314	305724
458	8333	305725
459	8350	305674
460	8369	305667
461	8387	305644
462	8405	305620
463	8423	305604
464	8440	305562
465	8460	305600
466	8481	305664
467	8499	305639
468	8516	305592
469	8533	305528
470	8550	305484
471	8567	305428
472	8585	305386
473	8602	305351
474	8619	305289
475	8637	305268
476	8657	305282
477	8675	305272
478	8694	305283
479	8712	305279
480	8730	305258
481	8750	305273
482	8768	305276
483	8789	305328
484	8807	305312
485	8825	305286
486	8844	305317
487	8862	305286
488	8880	305270
489	8900	305299
490	8918	305275
491	8936	305251
492	8954	305241
493	8973	305230
494	8990	305200
495	9010	305228
496	9028	305211
497	9046	305168
498	9063	305139
499	9082	305119
500	9098	305060
501	9116	305029
502	9135	305018
503	9154	305024
504	9173	305043
505	9190	305007
506	9208	304958
507	9227	304987
508	9244	304920
509	9262	304916
510	9280	304859
511	9296	304789
512	9315	304794
513	9333	304782
514	9351	304765
515	9370	304747
516	9388	304746
517	9406	304726
518	9425	304722
519	9445	304759
520	9464	304760
521	9482	304736
522	9501	304759
523	9520	304750
524	9537	304709
525	9555	304690
526	9573	304670
527	9591	304629
528	9608	304599
529	9628	304619
530	9648	304656
531	9665	304613
532	9685	304635
533	9703	304617
534	9721	304591
535	9740	304622
536	9758	304594
537	9777	304585
538	9795	304563
539	9813	304531
540	9831	304535
541	9851	304575
542	9869	304551
543	9888	304535
544	9906	304513
545	9923	304471
546	9941	304456
547	9961	304468
548	9978	304440
549	9997	304423
550	10013	304345
551	10032	304344
552	10050	304341
553	10069	304327
554	10086	304284
555	10105	304285
556	10122	304245
557	10141	304233
558	10160	304238
559	10177	304206
560	10195	304165
561	10213	304160
562	10232	304154
563	10249	304099
564	10269	304130
565	10287	304118
566	10304	304064
567	10322	304052
568	10341	304046
569	10359	304024
570	10377	303986
571	10394	303947
572	10413	303957
573	10433	303977
574	10453	304025
575	10473	304046
576	10491	304047
577	10511	304065
578	10530	304063
579	10547	304025
580	10565	304006
581	10582	303955
582	10601	303942
583	10619	303931
584	10637	303897
585	10656	303901
586	10674	303873
587	10693	303878
588	10709	303822
589	10727	303785
590	10747	303832
591	10766	303835
592	10784	303796
593	10802	303784
594	10820	303743
595	10838	303738
596	10857	303729
597	10875	303707
598	10892	303656
599	10910	303649
600	10929	303650
601	10948	303642
602	10966	303628
603	10985	303627
604	11004	303644
605	11023	303627
606	11041	303616
607	11062	303661
608	11080	303645
609	11098	303621
610	11116	303593
611	11134	303589
612	11152	303557
613	11170	303520
614	11187	303485
615	11205	303447
616	11223	303443
617	11243	303460
618	11265	303559
619	11284	303550
620	11301	303515
621	11319	303465
622	11338	303473
623	11356	303465
624	11375	303454
625	11394	303467
626	11413	303471
627	11432	303480
628	11452	303497
629	11471	303513
630	11490	303506
631	11508	303493
632	11526	303462
633	11545	303452
634	11562	303408
635	11580	303378
636	11597	303330
637	11616	303336
638	11633	303280
639	11650	303242
640	11668	303224
641	11686	303192
642	11704	303158
643	11720	303105
644	11739	303089
645	11759	303119
646	11777	303103
647	11795	303076
648	11812	303038
649	11830	303012
650	11848	302981
651	11866	302971
652	11884	302937
653	11903	302947
654	11923	302961
655	11942	302971
656	11961	302973
657	11979	302951
658	11997	302924
659	12017	302940
660	12035	302936
661	12054	302920
662	12072	302899
663	12089	302850
664	12106	302803
665	12124	302789
666	12143	302783
667	12161	302764
668	12178	302710
669	12196	302696
670	12214	302661
671	12233	302663
672	12251	302638
673	12271	302660
674	12289	302640
675	12306	302595
676	12324	302567
677	12341	302540
678	12360	302523
679	12379	302535
680	12398	302533
681	12417	302533
682	12436	302537
683	12454	302506
684	12473	302507
685	12491	302493
686	12509	302460
687	12527	302437
688	12547	302462
689	12564	302432
690	12582	302400
691	12601	302389
692	12620	302391
693	12638	302375
694	12655	302326
695	12672	302286
696	12690	302270
697	12709	302248
698	12727	302231
699	12746	302234
700	12763	302200
701	12780	302154
